COUNTY_NAME,R_death_2018
Sioux,2.5
Cooper,10.4
Jefferson,8.2
Murray,10.1
Lanier,9.3
Charles,7.1
Iron,16.5
Foster,10.5
Mahnomen,12.3
Warren,7.4
Knox,9.6
Polk,7.5
Sumter,11.6
Parker,8.4
Duplin,9.8
Johnson,8.2
Bledsoe,10.3
Baltimore County,10.3
Madison,10.9
Platte,6.6
Garvin,12.1
Caldwell,9.8
Emporia,14.4
Crawford,10.3
Chase,11.9
Davidson,10.8
Pushmataha,13.8
Williams,10.8
Albemarle,8.1
Washington,9.3
Glenn,7.8
Lancaster,6.7
Scotts Bluff,11.5
Martin,11.4
Gasconade,13.8
Rhea,12.0
Summers,13.7
McCormick,15.6
Quitman,11.7
Rice,10.0
Calaveras,11.8
George,10.9
Cibola,10.2
Grundy,14.5
Ross,10.4
Kings,7.2
Sangamon,10.9
Montmorency,18.1
Hamilton,15.5
Cascade,10.3
Power,7.1
Costilla,7.6
Rutherford,12.7
Skagit,9.9
Haywood,12.3
Glades,8.8
Cherokee,10.8
Moore,11.9
Dixie,13.7
Winston,12.9
Bristol,14.4
Traill,11.1
Lane,9.5
Yankton,9.3
Madison,8.6
Pendleton,11.2
Borden,9.1
Mendocino,10.0
Fayette,11.4
Audubon,11.7
Issaquena,6.8
Washburn,13.2
Transylvania,11.5
Lamar,14.1
Mille Lacs,10.2
Stephenson,12.3
Calhoun,10.1
La Paz,14.6
Bureau,11.6
Orange,11.8
Morgan,4.1
Bennett,11.0
Murray,11.8
Hitchcock,13.5
Meade,7.2
Ingham,7.6
Fulton,12.9
Red Willow,11.0
Buffalo,10.1
Washington,13.3
Cleveland,12.4
McPherson,11.9
Beckham,11.5
Chesterfield,12.3
San Augustine,14.4
Caldwell,12.5
Hancock,15.0
Glacier,13.1
Caledonia,9.0
Marion,10.7
Kiowa,8.8
Decatur,10.3
Carroll,12.6
Perry,16.2
Carlisle,11.5
Tishomingo,14.9
Clay,13.2
Seminole,13.4
Vermillion,12.9
Schuyler,10.5
LaMoure,8.8
Raleigh,13.6
Marquette,10.9
Wheeler,11.0
Pine,9.3
Sabine,9.9
Love,11.8
Clinton,11.1
Jasper,9.8
DuPage,7.1
Turner,11.8
Belmont,12.6
Otero,8.8
Martin,12.7
Texas,6.3
West Carroll,14.4
Ford,13.6
Montgomery,11.0
Lawrence,12.6
Brule,8.0
Bayfield,11.5
Hampshire,7.9
Gray,11.7
Uvalde,9.5
Concho,7.9
Sumter,10.0
Grant,11.3
Waynesboro,10.3
Linn,12.8
Ionia,8.4
Haskell,10.9
Kodiak Island,4.2
DeWitt,11.0
Santa Rosa,8.9
Turner,13.0
Keweenaw,9.0
Grundy,13.3
Pike,9.0
Hampden,9.7
Pasquotank,9.4
Wichita,10.7
Gallatin,5.2
Overton,14.0
Wetzel,15.3
Jefferson,11.1
Bristol,10.5
White,11.8
Wabaunsee,7.3
Suffolk,9.2
Decatur,12.8
Clarendon,12.1
Pike,12.1
Clay,13.3
Greene,9.3
Kemper,10.9
Troup,10.4
Kane,6.5
Bingham,7.8
Fayette,11.4
Bremer,9.0
Scott,4.5
Cowlitz,10.9
Franklin,7.6
Yakutat,0.0
Lewis,10.0
Lawrence,15.3
Ashland,10.4
Scurry,10.0
Garfield,13.0
Franklin,10.8
St. Louis,10.3
Mercer,12.5
Sierra,21.1
Ralls,7.6
Pepin,10.6
Loup,13.1
Iroquois,12.1
St. Clair,10.4
Shelby,9.9
Barbour,11.5
Blaine,11.3
Highlands,15.6
Curry,7.7
Saline,10.5
Hughes,12.6
Moody,7.8
Sanborn,4.9
Emmons,12.1
Otero,11.5
Richland,12.1
Lenawee,10.1
Union,9.9
Custer,9.1
Sullivan,12.5
Gray,7.3
Colusa,5.5
Taliaferro,13.0
Weston,9.7
Bradley,12.0
Portsmouth,11.0
Wadena,13.4
Dickson,9.9
Neosho,10.9
Wahkiakum,9.9
Snohomish,7.1
Clark,10.1
Osceola,6.6
York,9.9
Tyler,11.6
Sequatchie,11.0
Clark,7.5
Logan,11.0
Boone,12.1
Sequoyah,13.7
Columbiana,11.6
Huerfano,14.3
Titus,8.1
Monroe,11.7
Richland,11.4
Kosciusko,9.0
Sussex,12.0
Berks,9.3
Hickman,15.2
Bossier,8.7
Wyandot,11.3
Van Buren,8.2
Polk,10.1
Alcorn,12.4
Seneca,10.6
Butler,10.2
Van Buren,10.7
Montgomery,6.5
Buchanan,14.5
Allen,13.1
Meigs,12.1
Taylor,11.2
Colfax,5.4
Cooke,10.2
Greenville,8.6
St. Joseph,9.5
Owyhee,7.4
Grand,8.0
Lexington,8.5
Fentress,13.9
De Witt,13.5
Yuma,7.7
New Haven,9.2
El Paso,6.5
McIntosh,18.8
Terrebonne,10.0
Racine,8.7
Crow Wing,10.6
Hopkins,11.4
Wyoming,16.0
Story,5.4
Wayne,5.0
Red River,14.7
Anderson,11.0
Pleasants,10.6
Kaufman,7.9
Mills,12.6
Merrimack,8.9
Otsego,11.3
Creek,12.8
Freeborn,11.8
Torrance,9.5
San Mateo,6.9
Morgan,9.4
Hamilton,10.2
Lyon,8.1
Grant,11.6
Montrose,10.7
Whitley,12.8
Jerauld,10.3
Marion,10.3
Morrow,7.0
Elk,12.3
Deer Lodge,12.3
Desha,15.0
Runnels,12.1
Delta,12.0
Charlevoix,11.1
Barton,11.8
Barton,10.3
Greeley,13.5
Liberty,7.4
Martin,13.4
Banner,4.1
Mecklenburg,6.2
Northampton,15.2
North Slope,7.0
Robertson,13.1
Butte,7.7
Adams,12.0
Daviess,10.1
Dickenson,14.0
Ada,6.5
Leavenworth,7.6
Hanson,5.3
Tillamook,11.2
York,9.1
Montgomery,13.1
Blue Earth,6.9
Lee,11.6
Jefferson,11.4
Schuyler,10.9
Schenectady,9.8
Amador,11.0
San Juan,8.6
Klickitat,9.8
Greene,8.8
Knox,10.1
Pearl River,11.8
Douglas,12.2
Fayette,14.0
Gilliam,11.7
Oscoda,13.5
Republic,13.3
Schoolcraft,13.4
Denton,4.8
Dorchester,7.3
Rock,11.1
DeSoto,7.7
Pennington,9.3
Buena Vista,12.6
Ellis,8.5
Le Sueur,7.9
Broome,11.0
Roseau,8.6
Kidder,7.7
Koochiching,10.5
Marion,8.3
Woodford,10.4
Roanoke City,11.7
Hillsborough,8.2
Shelby,11.8
Craven,9.8
Trego,14.5
Gila,14.8
Fayette,10.5
Queen Anne's,8.2
Shelby,7.1
Bedford County,11.0
Bath,10.0
Stanislaus,7.4
Coos,14.6
Monroe,11.2
Gilmer,12.2
DeKalb,11.3
White Pine,9.8
Pembina,11.9
Lee,9.0
Licking,9.4
Wilson,11.5
Marion,14.1
Talladega,13.3
Carteret,12.7
Dixon,9.8
Hart,10.6
Clinton,11.1
Appomattox,11.2
Chester,8.0
Fond du Lac,8.9
Dubuque,9.4
Clay,10.3
Elk,12.0
Colonial Heights,10.8
Outagamie,7.1
Gladwin,15.0
Crane,5.0
Warren,10.5
Oregon,13.6
West Baton Rouge,8.4
Leflore,12.2
Jackson,12.0
Ohio,12.5
Bates,11.1
Harrison,11.3
Alexander,10.5
Richland,11.6
Fulton,16.2
Hoonah-Angoon,14.5
Gillespie,14.2
Davis,4.9
Kennebec,11.1
Do̱a Ana,7.4
Ward,7.2
Montgomery,9.9
Hamilton,5.5
Pike,10.3
Anchorage,6.1
Ripley,10.3
Emery,9.0
Wilson,8.0
Brown,12.6
Cheatham,10.0
Bryan,11.8
Pender,9.0
Dubois,9.5
Adams,12.8
Cavalier,13.6
Kleberg,8.4
Wood,14.5
Henry,14.0
Stokes,12.2
Wabasha,8.5
Stephens,13.7
Houston,13.4
Sarpy,5.5
Holmes,7.6
Doddridge,9.2
Mower,9.8
Ontonagon,19.0
Geneva,13.5
Seneca,9.3
Hancock,9.5
Tooele,5.0
Des Moines,10.5
Berkeley,9.2
Seminole,12.2
Logan,10.9
Roane,13.6
Warren,13.1
Appanoose,12.7
Bonner,10.0
Wise,9.1
Throckmorton,9.2
Polk,10.3
Carroll,10.8
Buffalo,7.5
Clark,3.5
Sharkey,12.3
Colleton,15.3
Brown,12.3
New Hanover,8.6
Jackson,11.5
Marion,8.6
Eau Claire,7.5
Charles City,14.3
Randolph,9.7
Jefferson,10.8
Hall,11.5
Bottineau,13.6
Miami,9.7
Auglaize,10.2
Barnwell,13.6
Clinch,10.1
St. Lawrence,10.0
Garfield,7.7
Bibb,11.4
Dent,13.7
Stephens,12.6
York,10.0
Upshur,11.4
Ziebach,8.7
Jewell,12.3
Kent,7.3
Greeley,9.8
Crittenden,11.1
Craig,13.6
Phillips,9.3
Kenai Peninsula,8.9
Brewster,7.6
Dunn,5.1
Pierce,9.3
Charlotte,15.3
Carter,12.9
Jenkins,11.7
Red Lake,6.7
Morgan,10.6
Botetourt,10.9
Shoshone,14.0
Guernsey,12.0
Warren,8.0
Laurens,12.5
Marion,13.5
Searcy,14.0
Polk,10.4
Jackson,8.2
Plaquemines,8.3
Sherman,7.2
Zavala,8.3
Aurora,8.6
Chattooga,11.7
Hays,5.1
Williamson,5.1
Christian,8.6
Nelson,9.1
Smith,10.5
Rockbridge,10.5
Grant,11.6
Powder River,9.2
Montezuma,10.7
Washington,13.1
Wilson,13.0
Cleburne,15.4
Broward,8.3
Hawaii,10.1
Dallas,5.3
Hall,8.7
Scott,14.1
Wilkin,12.7
Midland,6.5
Breathitt,15.1
Mercer,8.2
Marion,11.8
Passaic,7.7
Gilpin,4.4
Winneshiek,9.3
Madison,10.5
Northumberland,12.1
Montgomery,10.2
Cass,10.8
Orange,8.5
Catawba,10.6
Yuma,9.4
Miami-Dade,7.9
Door,12.5
Boulder,5.8
Union,13.9
Webster,13.8
Le Flore,13.8
Lonoke,9.3
St. Louis city,10.6
Allen,9.3
Washington,10.7
Galveston,8.8
Clayton,11.1
Clinton,10.2
Dundy,16.3
Brazoria,6.8
St. Landry,12.3
Knox,11.4
Essex,11.0
Marion,16.6
Jefferson Davis,12.8
Sunflower,11.7
Marion,10.3
Esmeralda,4.8
Jefferson,10.2
Lebanon,10.6
Alleghany,12.2
Jackson,12.6
Gonzales,10.1
Bucks,9.7
Dawson,8.2
Bullock,11.8
Morehouse,13.4
Noxubee,12.0
Sheridan,11.8
Lamoille,7.8
Winnebago,10.3
Union,12.1
Missoula,7.4
Kiowa,12.7
Erie,12.5
Steuben,10.7
Sevier,10.6
Genesee,11.0
Piatt,10.2
Butler,13.2
Crook,9.3
Fountain,11.2
Minidoka,8.1
Henderson,11.7
Kent,16.2
Hardin,14.1
Bertie,13.7
Essex,8.2
Williamson,11.8
Lawrence,12.2
Perry,10.6
Sumter,12.3
San Juan,7.4
Wrangell,21.9
Dutchess,9.3
Adams,7.3
Bamberg,13.2
Prowers,9.3
Jefferson,12.3
Georgetown,13.8
Forrest,10.1
Kootenai,9.0
Sebastian,9.9
Lake,10.3
Tioga,9.8
Dunklin,15.1
New Castle,8.6
Las Animas,10.9
Silver Bow,11.8
Perry,10.0
Hemphill,9.0
Grand Traverse,9.2
Fairfield,13.4
Bandera,10.6
Spencer,11.7
Currituck,8.8
Kauai,9.5
Archer,8.3
Granville,9.9
Ventura,7.3
Storey,4.7
Stearns,6.3
Mineral,9.6
Pointe Coupee,11.4
Lewis,14.5
Campbell,6.8
Bourbon,10.5
Trumbull,12.6
Lewis,11.2
McMinn,12.1
Volusia,13.2
Dade,11.6
Harford,8.6
Sherburne,5.7
Crawford,9.7
Amelia,10.9
Rankin,7.9
Rice,7.8
Livingston,13.9
Hot Spring,11.2
Benson,10.1
Fairfield,8.8
Rawlins,8.4
Scott,12.9
DeKalb,6.9
Reynolds,13.6
Walker,11.7
Crockett,7.9
Calhoun,13.1
Ozark,15.0
Scott,7.5
Mason,11.0
Coryell,6.3
Portage,8.8
Brown,10.0
Candler,12.0
Wayne,12.7
Tallapoosa,13.7
Union,6.3
Mackinac,12.1
Bronx,7.8
Potter,13.1
Howard,9.7
Pima,9.7
Saguache,8.0
Calumet,7.0
Lorain,9.9
Dodge,9.8
Ransom,14.2
Box Butte,10.2
Morrow,9.3
Dyer,12.3
Morgan,8.9
Ohio,13.3
San Miguel,10.3
Montgomery,8.3
Casey,13.1
Sheridan,5.2
Telfair,10.4
Kanawha,13.7
Towner,9.0
Wood,10.3
Becker,11.1
Leslie,15.7
Comanche,9.2
Benton,11.7
San Patricio,9.0
Carroll,13.9
Reno,11.2
Bullitt,8.2
Logan,7.9
Osceola,10.7
Emmet,12.6
McKinley,8.6
Penobscot,10.4
Carlton,9.9
Jefferson,9.7
Cleveland,7.4
Cattaraugus,11.1
Warren,9.1
Lake,10.9
Saline,9.1
DeKalb,6.6
Neshoba,13.0
Hinsdale,5.0
Catoosa,10.1
Trinity,15.1
Lucas,10.8
Cass,9.0
Edwards,9.1
Chippewa,11.6
Marshall,8.1
Hartford,9.3
Crawford,12.6
Dearborn,9.2
Montgomery,16.4
Warren,9.7
Wakulla,8.1
Suffolk,8.8
Pulaski,13.1
Lemhi,11.8
Union,10.4
Allegheny,11.3
Keya Paha,1.2
Carbon,8.0
Fayette,7.6
Arapahoe,6.4
Grant,9.9
Hamilton,11.9
Prairie,10.0
Grant,10.8
Sullivan,16.1
McDowell,11.0
Conejos,8.6
Newton,13.2
Chaffee,8.3
Seward,8.8
Pueblo,10.9
Upton,5.2
Oxford,11.9
Emanuel,12.7
Montgomery,7.1
Moore,8.6
Stewart,10.3
Lawrence,12.4
Alameda,6.7
Randolph,12.4
Union,10.4
Adams,10.4
Darke,11.2
Armstrong,11.1
Orange,6.7
Cape May,14.0
Wayne,13.6
Stillwater,8.7
Valley,8.3
Choctaw,14.9
Smyth,15.5
Tate,10.5
Putnam,11.7
Delaware,13.7
Ida,15.8
Wayne,10.5
Stafford,11.4
Jackson,7.9
Baltimore City,11.4
Shelby,11.4
Alamosa,6.7
Benton,15.8
Colquitt,10.2
Sterling,15.3
Webster,15.3
Pitt,7.9
Thomas,4.1
Wise,12.4
Chester,8.8
Bergen,7.8
Taylor,9.0
Beaufort,9.0
Fremont,12.0
Rockwall,6.2
Marshall,9.6
Menard,10.8
St. Clair,16.2
Ottawa,6.7
Jefferson,11.3
Hopewell,11.9
Oconee,6.4
McLean,7.0
Jackson,10.1
Kane,7.7
Beaverhead,10.0
Marshall,9.4
Franklin City,10.5
Lafayette,9.1
Pittsburg,13.6
Jo Daviess,11.9
Phillips,14.4
Pennington,8.3
Swisher,10.2
McIntosh,15.8
Custer,8.1
Cleveland,10.5
Clinton,10.9
Benton,6.6
Alfalfa,9.6
Motley,13.0
Wyoming,8.6
Cottonwood,13.3
Churchill,10.4
Mahaska,10.3
Simpson,9.0
Broomfield,5.6
Hertford,12.4
Trousdale,7.7
Ward,8.0
Lamar,11.2
Middlesex,7.6
Marshall,12.4
Brookings,5.4
Lynn,8.2
Vernon,10.2
Rutherford,6.3
Washington,10.1
Garza,6.1
Union,14.0
Person,11.4
Bay,11.2
Pulaski,9.6
Contra Costa,7.4
Sullivan,11.0
Richland,7.7
Cumberland,17.8
Jefferson,8.3
Shelby,11.6
Pontotoc,13.4
Menifee,14.1
Loudoun,3.9
Cheboygan,14.4
Mercer,11.5
Nantucket,4.8
Baker,8.6
Calloway,10.6
Marshall,10.6
Coffee,10.4
Clay,7.4
Comanche,13.6
San Francisco,7.5
Cochise,10.3
Jerome,6.4
Owen,12.4
Phillips,12.3
Caldwell,13.0
Charles Mix,11.5
La Crosse,8.4
Rockcastle,14.9
Wibaux,9.8
Washington,8.6
Coal,13.3
Ketchikan Gateway,6.8
Olmsted,6.6
Craig,16.0
Garfield,6.0
Union,6.4
Steele,6.3
Deschutes,7.9
Price,11.2
Delaware,5.8
Humboldt,10.0
Champaign,10.0
Rutland,11.3
Yazoo,9.8
Medina,8.7
Garfield,10.5
Dickens,7.6
Big Horn,11.4
Cassia,7.8
St. James,10.5
Cherokee,10.3
Cameron,15.4
Providence,9.0
Roane,13.3
Randolph,11.1
Iowa,11.3
Trinity,12.9
Macon,11.0
Yates,10.8
Ouray,5.0
Henry,12.7
Lincoln,8.0
Beauregard,11.2
Poweshiek,10.7
Lee,11.8
Van Buren,15.4
Kenosha,8.1
Owsley,13.5
Washington,9.2
Grady,9.4
Madison,8.6
Forest,11.8
Cole,8.9
Burleigh,7.9
Fairfax City,8.6
Muscogee,9.8
Alexandria,5.3
Marshall,10.1
Southampton,11.9
Lowndes,10.3
Wexford,10.0
Kanabec,9.4
Cotton,14.8
Summit,2.2
Brooks,10.5
Logan,13.4
Brunswick,12.3
Alexander,14.2
Worth,11.4
Arenac,13.6
Webb,5.1
Daggett,9.0
Vernon,10.6
Rush,8.8
Jackson,12.5
Trimble,11.2
Pike,12.2
Centre,6.7
Lafayette,10.8
Saline,9.7
Ritchie,14.8
Fergus,12.7
Jones,8.7
Okmulgee,13.7
Lake,6.7
St. Francois,11.8
Westmoreland,12.4
Ellsworth,11.2
Alcona,16.8
Fannin,12.5
Polk,13.0
Merrick,11.8
Perquimans,10.8
Decatur,10.2
Lake,3.6
Bonneville,7.3
Lincoln,11.6
Calhoun,11.5
Grady,10.9
Rappahannock,11.0
Vigo,11.0
Jersey,9.5
Norfolk,8.6
Lincoln,4.4
Taylor,10.1
Williamson,5.6
Onslow,5.5
Greer,10.0
Benewah,11.9
Douglas,5.5
Geauga,8.8
Hardin,10.0
Jeff Davis,10.3
Clay,7.4
Clark,9.5
Franklin,10.3
Graves,11.1
Susquehanna,11.4
McLennan,8.8
Clatsop,10.5
Beadle,9.4
Duchesne,6.4
Muhlenberg,13.7
Wright,6.2
Judith Basin,5.1
Charlottesville,6.9
Bulloch,7.4
Sabine,14.1
Perkins,8.2
Rapides,11.0
Kusilvak,12.8
Jasper,11.6
Panola,11.4
Hamilton,13.3
Wayne,11.5
Allen,10.5
Pipestone,12.7
Mono,3.2
Obion,13.1
Harrison,12.6
Brown,10.0
Cecil,9.8
Lyon,15.3
Hocking,11.2
Newaygo,10.7
Johnson,8.3
Park,9.9
Blaine,9.0
Dickinson,12.0
Union,15.2
Van Zandt,12.1
McHenry,10.4
Letcher,13.3
Nicholas,14.0
Liberty,9.7
Lee,8.4
Texas,10.7
Delta,10.5
Page,12.6
Caroline,10.4
Lincoln,12.6
Pickens,11.0
Columbia,12.0
Clark,10.3
Dunn,7.5
Madison,10.6
Vance,12.0
Macoupin,12.6
Rolette,13.4
Falls Church,5.9
Colbert,12.5
Cass,10.9
Brooks,12.3
Massac,12.1
Taney,9.6
Bannock,7.8
Guilford,8.6
Logan,7.9
Muscatine,8.5
Franklin,9.7
Palo Alto,12.8
Jasper,11.5
Buncombe,10.3
Tuolumne,10.3
Hillsdale,10.6
Monmouth,9.4
Baylor,14.0
Winnebago,8.5
Sutter,8.4
Adams,5.4
Monongalia,6.6
Cayuga,9.1
Lycoming,11.5
Baker,13.0
Richmond,12.4
Worcester,8.8
Potter,9.4
Delaware,10.2
Upson,14.1
Stark,11.1
San Luis Obispo,8.4
Flagler,11.9
Niagara,11.3
Dane,6.1
Roberts,9.8
Sanilac,12.0
Craighead,9.3
Scott,12.1
Lauderdale,10.9
McIntosh,9.0
Cherokee,6.3
Elbert,13.8
Webster,11.5
Campbell,10.1
Hampton,12.2
Oconto,10.4
Cortland,8.8
Lee,11.7
Lake,10.9
Douglas,7.0
Catron,7.3
Caldwell,8.0
Erie,10.7
Dodge,7.1
Tulare,6.6
Tucker,13.9
Bartholomew,8.8
Livingston,8.6
Jessamine,7.9
Somerset,7.9
Moore,6.2
Juab,7.2
Caddo,11.3
Hinds,9.0
Okeechobee,11.4
McLean,10.6
Cambria,13.2
Lee,16.5
Scotland,8.7
Lake,12.8
Logan,6.3
Huron,14.6
Abbeville,11.2
Ferry,10.9
Iredell,9.3
Valencia,9.0
McKenzie,4.9
Santa Fe,7.7
Hood,11.5
Haskell,10.7
McCone,10.1
Franklin,11.4
Upshur,11.7
Garfield,8.6
Twin Falls,8.7
Jennings,11.0
Carroll,11.5
Clearwater,10.1
Curry,15.7
Dukes,7.5
Rockingham,12.9
Siskiyou,12.8
Greene,11.1
Cherokee,13.1
Wallace,6.6
Putnam,13.4
Ellis,7.7
Oneida,13.0
Somerset,12.8
Washington,9.8
Piscataquis,13.5
Carbon,9.2
Guthrie,12.3
Henry,11.4
McPherson,4.1
Kitsap,8.8
Newport News,8.4
Beaver,12.7
Wabash,12.9
Macon,11.0
Juneau,10.0
Reagan,3.5
Calhoun,8.5
Hudspeth,4.5
Lincoln,11.5
Caribou,10.2
Washington,12.5
Cabell,12.7
Columbia,11.1
Washington,12.1
Randall,7.8
Edmonson,12.3
Williamsburg,6.6
Clinton,9.0
Nacogdoches,8.9
Merced,6.4
Antelope,10.4
Maverick,6.5
Gwinnett,4.9
Lac qui Parle,13.8
Macon,11.2
Kimble,13.2
Isabella,6.5
Cowley,11.5
Teton,8.8
Eddy,9.3
Knox,10.7
Bond,10.2
Carson,11.5
Cameron,6.5
Marathon,8.4
Jefferson,7.9
Douglas,4.1
Madison,8.2
Crisp,12.6
Phillips,12.1
Garrard,10.3
Ozaukee,8.9
Wasco,11.2
Union,13.2
Fillmore,10.6
Thomas,11.9
Covington,14.5
Gilmer,9.6
Cameron,8.9
Montgomery,9.5
Stone,13.3
Morgan,8.6
Deuel,11.4
Jefferson,9.3
Denali,0.5
Okanogan,11.5
Adams,6.7
Guadalupe,6.8
Beaver,8.2
Tensas,13.7
Douglas,7.5
Harney,8.9
Fairbanks North Star,5.1
Mecosta,8.4
Oliver,2.6
Lincoln,8.1
Boone,7.6
Cook,8.7
Wilcox,12.0
Gogebic,14.2
King,0.0
Wapello,10.6
Mississippi,14.2
Clarke,12.2
Meade,7.6
Sullivan,10.3
DeKalb,11.8
Hancock,11.3
Nicollet,7.4
Carroll,9.6
Jefferson,11.9
Clay,11.7
Warren,10.5
Polk,10.4
Calcasieu,10.0
Noble,11.3
Hancock,11.6
Hanover,8.0
Berkeley,7.5
Tazewell,15.5
Warren,9.2
Vilas,13.0
Stanton,9.0
Roscommon,16.0
Henrico,8.4
Burke,11.3
Benton,6.4
Adair,12.2
Brantley,11.6
Labette,11.3
Lake,12.8
Reeves,6.2
Cumberland,8.0
Richmond,10.0
Pike,10.4
Uinta,7.2
Claiborne,13.4
Pierce,7.1
San Jacinto,10.6
Washington,11.7
Greene,7.3
Robertson,10.6
Worth,10.8
Franklin,10.0
Monroe,6.4
Mercer,9.2
Harrison,9.5
Benzie,11.9
Montgomery,13.3
Stafford,5.2
Wayne,15.5
Socorro,9.2
Pike,13.3
Liberty,8.4
Santa Cruz,7.1
Washington,10.3
Menard,11.1
Iron,16.6
Jackson,9.7
Morgan,11.7
Sacramento,7.8
Lipscomb,8.9
Custer,9.5
Anne Arundel,8.0
Atoka,9.3
Yamhill,8.7
Castro,6.5
Manistee,12.7
Clay,12.5
Greene,11.9
Winchester,9.1
Hamilton,8.4
Franklin,9.2
