COUNTY_NAME,R_death_2018
Manatee,10.7
Harrison,9.0
McCreary,9.8
Bear Lake,10.8
Coosa,11.4
Hamilton,7.3
McCracken,12.9
Hardin,10.0
Oceana,10.0
Natrona,9.3
Martin,12.9
Lawrence,12.2
Bethel,7.5
Posey,10.1
Henry,11.5
Rich,5.8
Oconee,12.1
Bleckley,10.2
Apache,9.8
La Plata,6.5
Ballard,13.5
Seward,5.3
Irion,5.3
Campbell,5.8
Nueces,8.4
Hawkins,12.8
Franklin,9.6
Marion,11.0
Colfax,10.4
Osceola,10.8
Monroe,9.0
Gadsden,10.4
Howard,9.6
Lubbock,8.5
Manassas Park,2.9
Hidalgo,11.2
Ripley,16.2
Pottawattamie,10.1
Angelina,10.7
Tazewell,10.8
Rock,9.0
Spokane,9.2
Westmoreland,12.7
Iowa,8.3
Chatham,8.8
Cobb,6.1
Milam,11.2
Hubbard,9.2
Rio Grande,11.3
Thurston,8.0
Coffee,12.1
McHenry,7.0
Linn,10.3
Brown,7.2
Sitka,4.5
Johnson,6.7
Wayne,10.7
Sumter,15.1
Park,9.5
Walthall,12.1
Monroe,13.3
Noble,9.4
Laurens,12.1
Austin,9.2
Johnson,7.1
Larue,10.4
Bent,8.5
Shasta,11.9
LaSalle,11.1
Morgan,13.8
Adams,13.0
Anderson,8.9
Starke,12.2
Travis,4.9
Calvert,8.1
Dallas,6.5
Maries,11.1
Sumner,9.1
Tippah,11.6
Lafayette,8.2
Douglas,9.2
Iron,15.5
Clark,9.4
Howard,12.8
Summit,10.7
Prince George's,7.7
St. Charles,7.2
Orange,11.9
Waseca,7.6
Butler,10.4
Amite,12.0
Kalkaska,10.2
Huntingdon,11.7
Irwin,12.2
Cass,13.9
Clay,13.3
Wichita,8.5
Anson,10.7
Hopkins,12.0
Richmond,8.7
Cloud,14.8
Waldo,10.9
Brown,8.9
Spartanburg,10.1
Pulaski,12.5
Humphreys,13.7
Tift,10.1
Payne,7.3
Carver,5.2
Nemaha,8.6
Wirt,8.4
Roger Mills,6.3
Powhatan,8.7
Vinton,11.1
Tioga,11.7
Adams,9.8
Madera,6.6
Scott,8.6
Randolph,14.4
Van Buren,12.4
Lawrence,13.7
Horry,10.9
Santa Barbara,7.3
Lea,7.2
Defiance,10.7
Chemung,11.1
Marshall,11.8
Yellow Medicine,11.1
Lane,10.3
Oktibbeha,7.1
Fannin,13.5
Deuel,10.0
Jackson,12.7
Graham,15.2
Callahan,13.1
Barnes,11.4
Greenwood,12.3
Avoyelles,11.2
Lamar,6.9
Cass,10.4
East Feliciana,12.7
Caddo,13.0
Jackson,13.6
Monroe,13.4
Trempealeau,9.3
Yadkin,11.2
Hamilton,14.6
Macon,13.0
Columbia,6.6
Cullman,12.5
Midland,8.9
Broadwater,9.0
Clayton,6.4
Nassau,11.2
Brunswick,13.6
Umatilla,8.4
Hunt,10.4
Shenandoah,10.7
Gibson,13.1
Essex,8.8
Cook,11.5
Shelby,7.3
Boone,12.5
Baldwin,10.3
Comal,8.2
San Benito,5.5
Custer,12.2
Stevens,7.8
Gulf,11.4
Haines,4.0
Ocean,12.0
Sheridan,13.6
Mitchell,15.7
Chariton,14.3
Grundy,10.2
Somerset,10.8
Taylor,10.8
Monona,15.6
Fayette,12.6
Delta,12.6
Honolulu,8.7
Iosco,15.5
Tipton,9.7
Breckinridge,10.4
Petroleum,2.0
Shelby,8.9
Dauphin,9.3
Forest,10.7
Lee,13.7
Coffey,9.7
Quitman,14.6
Wallowa,9.6
Adair,12.8
Louisa,10.5
Southeast Fairbanks,6.2
Drew,11.1
Harlan,14.8
Twiggs,14.8
Cuyahoga,11.0
Conecuh,14.8
Rooks,14.3
Virginia Beach,7.4
Roosevelt,8.3
Kearny,6.3
Boone,7.0
Teton,3.3
San Miguel,1.6
Rowan,11.0
Warren,11.4
Whitfield,8.0
Henry,14.5
Calhoun,12.9
Placer,8.5
Tyler,11.4
Greene,13.0
Logan,9.4
St. Croix,7.0
Mississippi,12.3
Richmond City,9.6
Houston,9.5
Gregory,11.2
Saline,13.7
Webster,11.2
Franklin,13.8
Greenup,13.7
Perry,13.1
Sedgwick,8.8
Sheridan,7.5
Barbour,12.9
Pickens,9.5
Marquette,10.2
Isle of Wight,10.8
Clarion,11.5
Clarke,6.1
Caroline,9.4
Sullivan,9.9
Jackson,10.7
Oldham,5.2
Washington,10.9
Grayson,12.5
Worcester,13.4
Macon,11.7
Fayette,7.2
Macon,13.3
Martin,9.9
Cumberland,10.2
Kendall,4.4
Pecos,6.5
Mohave,15.5
Chambers,13.7
Butte,10.4
Pike,11.4
Blount,11.4
Russell,12.9
Johnston,15.4
Lexington,6.3
Levy,13.6
Sagadahoc,11.3
Beltrami,9.3
Franklin,13.4
Rio Arriba,11.3
Cumberland,11.9
Lackawanna,12.1
Mecklenburg,15.7
Edwards,9.8
Harper,16.5
Clarke,10.3
Los Angeles,6.8
Highland,11.4
